time,vibrationLevel_4267,mean
2023-09-05 14:08:53.947000+00:00,0.0906,0.0906
2023-09-05 11:07:58.469000+00:00,0.0021,0.0021
2023-09-05 08:06:50.093000+00:00,0.1402,0.1402
2023-09-05 05:06:03.919000+00:00,0.0941,0.0941
2023-09-05 02:05:04.398000+00:00,0.0,0.0
2023-09-04 23:09:24.471000+00:00,0.0,0.0
2023-09-04 20:08:58.299000+00:00,0.0,0.0
2023-09-04 17:08:32.900000+00:00,0.1178,0.1178
2023-09-04 14:05:03.406000+00:00,0.1276,0.1276
2023-09-04 11:08:58.004000+00:00,0.0021,0.0021
2023-09-04 08:14:45.722000+00:00,0.11,0.11
2023-09-04 05:08:48.889000+00:00,0.0703,0.0703
2023-09-04 02:07:47.354000+00:00,0.0,0.0
2023-09-03 23:07:10.970000+00:00,0.0,0.0
2023-09-03 20:06:44.845000+00:00,0.0,0.0
2023-09-03 17:06:18.717000+00:00,0.129,0.129
2023-09-03 14:05:22.143000+00:00,0.1326,0.1326
2023-09-03 11:03:59.314000+00:00,0.0945,0.0945
2023-09-03 08:07:19.885000+00:00,0.085,0.085
2023-09-03 05:08:18.611000+00:00,0.0,0.0
2023-09-03 02:07:36.611000+00:00,0.0,0.0
2023-09-02 23:07:10.492000+00:00,0.0,0.0
2023-09-02 20:06:40.423000+00:00,0.0,0.0
2023-09-02 17:06:03.854000+00:00,0.091,0.091
2023-09-02 14:05:10.345000+00:00,0.0984,0.0984
2023-09-02 11:09:17.812000+00:00,0.0871,0.0871
2023-09-02 08:06:49.273000+00:00,0.0955,0.0955
2023-09-02 05:05:48.666000+00:00,0.0,0.0
2023-09-02 02:05:17.297000+00:00,0.0,0.0
2023-09-01 23:04:46.569000+00:00,0.0,0.0
2023-09-01 20:09:21.652000+00:00,0.0,0.0
2023-09-01 17:08:36.369000+00:00,0.0982,0.0982
2023-09-01 14:07:39.997000+00:00,0.0843,0.0843
2023-09-01 11:06:37.421000+00:00,0.0,0.0
2023-09-01 08:10:52.802000+00:00,0.0887,0.0887
2023-09-01 05:04:51.330000+00:00,0.1066,0.1066
2023-09-01 02:09:05.856000+00:00,0.0,0.0
2023-08-31 20:08:05.152000+00:00,0.0,0.0
2023-08-31 17:07:23.419000+00:00,0.0888,0.0888
2023-08-31 14:06:34.080000+00:00,0.0968,0.0968
2023-08-31 11:05:43.112000+00:00,0.0,0.0
2023-08-31 08:04:57.276000+00:00,0.0863,0.0863
2023-08-31 05:06:46.636000+00:00,0.0309,0.0309
2023-08-31 02:07:40.327000+00:00,0.0,0.0
2023-08-30 23:07:09.309000+00:00,0.0,0.0
2023-08-30 20:06:43.176000+00:00,0.0,0.0
2023-08-30 17:06:17.556000+00:00,0.0828,0.0828
2023-08-30 14:05:20.292000+00:00,0.0965,0.0965
2023-08-30 11:04:24.126000+00:00,0.0,0.0
2023-08-30 08:13:49.471000+00:00,0.105,0.105
2023-08-30 05:05:22.844000+00:00,0.0618,0.0618
2023-08-30 02:04:29.930000+00:00,0.0,0.0
2023-08-29 23:09:04.218000+00:00,0.0,0.0
2023-08-29 20:08:28.310000+00:00,0.0,0.0
